PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/23/2019,01:02:22 PM,1,1,"Rocker, Kumar",8898890,Right,VAN_COM,"Young, Jacob",1000013691,Right,FLA_GAT,Windup,1,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.6208242078,-2.12795597818,-3.14298217465,2128.13330415,219.559594743,1:15,5.4973250328,2.58875409315,6.89432482933,-17.096092372,13.4877483865,11.1657786255,2.1305462225,0.653512151438,85.7739595319,-5.39068093245,-1.006851185,0.398031579708,,,,,,,,,,,,-7.10758108605,8.12747062316,-2.39485550637,50.0,5.35688352036,7.17033911864,-136.228135309,-5.54410878576,-13.3719197842,29.6041168213,-16.8833492445,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190323-Vanderbilt-1,c9a5fb7d-4d95-11e9-9ebb-74e5f9ab4644,94.6969497967,,,7.84686467591,-1.88822697247,1.81174017607,-0.599933482112,,,,2dadc7f1-4d8f-11e9-9ebb-74e5f9ab4644
2,03/23/2019,01:02:36 PM,1,2,"Rocker, Kumar",8898890,Right,VAN_COM,"Young, Jacob",1000013691,Right,FLA_GAT,Windup,1,Top,0,0,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,94.7504133704,-1.36748988714,-3.57890001496,2165.04375378,201.386935457,12:45,5.48710898437,2.46311363392,7.00413698096,-13.1555800999,16.5583910165,6.49574871749,3.14516054153,-0.252865153222,86.746159501,-3.88590916311,-2.33566578773,0.392330314843,80.492846418,33.6155170518,117.955602211,,,,,,,,,-4.62380895189,9.66874916388,-2.24671262204,50.0,5.39894108191,8.44679150172,-137.894619247,-3.65834986977,-8.9189965566,30.1455522091,-13.5237233816,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190323-Vanderbilt-1,d732264c-4d95-11e9-9ebb-74e5f9ab4644,96.0730667377,,,8.00425386939,-0.195919463754,3.03427019891,0.318015335118,-0.199257516683,3.03403802902,0.31814889894,2dadc7f1-4d8f-11e9-9ebb-74e5f9ab4644
3,03/23/2019,01:02:52 PM,1,3,"Rocker, Kumar",8898890,Right,VAN_COM,"Young, Jacob",1000013691,Right,FLA_GAT,Windup,1,Top,0,0,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,95.348649977,-2.47273071684,-5.50440544829,2248.18164448,202.347783767,12:45,5.53611710157,1.88805255211,7.08487107845,-10.2828862949,19.6510496793,8.09020510225,2.42330020483,-2.44868174363,85.7092008133,-4.4605210717,-3.94599331847,0.393779797275,,,,,,,,,,,,-6.38168657683,11.9243236407,-1.56158619002,50.0,5.38460075928,13.1028676787,-138.191810974,-6.26760815758,-12.1318409332,35.6576007947,-9.50543330828,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190323-Vanderbilt-1,e09e5f57-4d95-11e9-9ebb-74e5f9ab4644,95.7194269029,,,9.63944916367,-2.0802208015,2.14501820694,2.68608240594,,,,2dadc7f1-4d8f-11e9-9ebb-74e5f9ab4644
4,03/23/2019,01:03:05 PM,1,4,"Rocker, Kumar",8898890,Right,VAN_COM,"Young, Jacob",1000013691,Right,FLA_GAT,Windup,1,Top,0,1,2,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,94.7493123986,-1.97898290638,-4.73249564113,2310.94982959,207.599692266,1:00,5.49479184648,2.21983548886,7.09063001138,-15.6958721506,14.736587878,7.71895967173,2.38412623781,-1.44118519477,84.6564897743,-5.02254946246,-3.23648258079,0.397045289975,,,,,,,,,,,,-6.04031650612,9.04724577577,-1.94007962375,50.0,5.37151471318,11.1797635968,-137.48051205,-5.1768164253,-11.2716923064,37.5787302629,-15.291196391,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190323-Vanderbilt-1,e8a76faa-4d95-11e9-9ebb-74e5f9ab4644,94.9321839922,,,10.0928226243,0.81424515974,2.33087604996,1.47514158535,,,,2dadc7f1-4d8f-11e9-9ebb-74e5f9ab4644
5,03/23/2019,01:03:25 PM,1,5,"Rocker, Kumar",8898890,Right,VAN_COM,"Young, Jacob",1000013691,Right,FLA_GAT,Windup,1,Top,0,1,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,80.3732410282,2.10610132885,-1.85715271915,2301.63593811,40.1958034662,7:15,5.68162673447,2.23278088515,6.49952986362,-51.0185825662,-8.30498404014,-6.98327995285,3.36486226495,-0.0541778095726,72.9185048392,-7.62062926602,-3.19396696998,0.470386229149,,,,,,,,,,,,3.26166823096,-5.27967121074,-2.10000766308,50.0,5.80647499038,3.96907664795,-116.876415336,2.98983883107,4.43977451843,25.3012028653,-39.3607236096,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190323-Vanderbilt-1,f46c54b6-4d95-11e9-9ebb-74e5f9ab4644,80.1306972556,,,7.45473618895,-2.55013017927,2.80299978804,0.279684478846,,,,2dadc7f1-4d8f-11e9-9ebb-74e5f9ab4644
6,03/23/2019,01:03:41 PM,1,6,"Rocker, Kumar",8898890,Right,VAN_COM,"Young, Jacob",1000013691,Right,FLA_GAT,Windup,1,Top,0,2,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.4126275058,-1.52355468934,-2.59108959992,2338.64796447,74.3297606462,8:30,5.6662523581,2.30815119699,6.24700473595,-45.4212286831,-2.01591619887,-7.04069797604,0.474407162628,-0.669623683106,72.94354135,-10.1005813501,-3.93603655901,0.474179704771,,,,,,,,,,,,2.96955807419,-0.578994373139,-2.11225547403,50.0,5.53088449162,5.47512976479,-116.805206638,-4.33070888303,4.00695475795,26.7808972818,-32.9553110205,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190323-Vanderbilt-1,fdee01ae-4d95-11e9-9ebb-74e5f9ab4644,79.4896452586,,,7.46908615577,-0.948289188459,0.0425103095192,0.833834771716,,,,2dadc7f1-4d8f-11e9-9ebb-74e5f9ab4644
7,03/23/2019,01:04:08 PM,2,1,"Rocker, Kumar",8898890,Right,VAN_COM,"McConnell, Brady",8898807,Right,FLA_GAT,Windup,1,Top,1,0,0,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.114084821,-0.512354170584,-2.17570803181,2322.42953307,43.720318595,7:30,5.69481056745,2.12856226891,6.25091755028,-49.5667654446,-6.04444410974,-5.74116618135,1.09145173578,-0.357052775167,72.8746525458,-9.87986674211,-3.27152565635,0.474818404017,,,,,,,,,,,,2.42157389969,-3.1460149737,-1.96433128286,50.0,5.63259710269,4.5791303613,-116.47114287,-2.37370657749,3.26121161859,25.8733513095,-36.4108883183,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190323-Vanderbilt-1,084af9db-4d96-11e9-9ebb-74e5f9ab4644,79.3827202194,,,7.23943227519,-1.39773558107,0.585715600005,0.519636876578,,,,2dadc7f1-4d8f-11e9-9ebb-74e5f9ab4644
8,03/23/2019,01:04:19 PM,2,2,"Rocker, Kumar",8898890,Right,VAN_COM,"McConnell, Brady",8898807,Right,FLA_GAT,Windup,1,Top,1,0,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,93.8963525324,-2.29689223574,-5.30768166415,2190.85755422,196.76889486,12:30,5.51143723304,2.14985965488,7.39040894664,-11.8788449717,18.4930381016,5.58102915499,2.43921116881,-2.18745244422,84.7987046648,-4.59867929429,-4.22844274742,0.396649926345,,,,,,,,,,,,-4.87887773293,11.2986281853,-1.86250227984,50.0,5.38291593333,12.5230502084,-136.246254039,-5.77473995334,-9.04611689997,33.7335474713,-11.2248227368,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190323-Vanderbilt-1,0f680f88-4d96-11e9-9ebb-74e5f9ab4644,95.0268083205,,,9.0976478676,-1.8894266389,2.16753724409,2.42952699908,,,,2dadc7f1-4d8f-11e9-9ebb-74e5f9ab4644
9,03/23/2019,01:04:32 PM,2,3,"Rocker, Kumar",8898890,Right,VAN_COM,"McConnell, Brady",8898807,Right,FLA_GAT,Windup,1,Top,1,1,1,Curveball,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,80.1462553491,0.865049540795,-1.74504862771,2264.04031599,34.7402225873,7:15,5.72696065419,2.12638733362,6.22375083633,-50.9519269074,-7.55297631173,-5.20948020872,2.27946972533,0.0818299164481,72.8602484455,-8.78278415539,-2.73810835503,0.474144953392,,,,,,,,,,,,2.28517504444,-4.42134727216,-1.99352720802,50.0,5.76633619224,3.69215072201,-116.555692485,0.380325362906,3.09153881361,25.2915061623,-38.1555451309,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190323-Vanderbilt-1,163da33d-4d96-11e9-9ebb-74e5f9ab4644,79.495471272,,,7.28600690357,2.67245762489,2.47073943549,-0.141584737709,,,,2dadc7f1-4d8f-11e9-9ebb-74e5f9ab4644
10,03/23/2019,01:04:58 PM,2,4,"Rocker, Kumar",8898890,Right,VAN_COM,"McConnell, Brady",8898807,Right,FLA_GAT,Windup,1,Top,1,1,2,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,94.5702228568,-2.13733650194,-4.70303444744,2350.73096275,210.312997139,1:00,5.50933189549,2.31387683189,7.16836522206,-14.4655000611,16.0134798705,9.37915024889,2.35981610224,-1.17548274377,84.3985386209,-4.94945391684,-2.88112120141,0.397348641316,75.7715884982,24.7581991661,147.993012705,4115.33667956,,,,,,,,-6.99869079611,9.85956096812,-2.04268751162,50.0,5.38010179314,11.0499369922,-137.228007413,-5.5082696806,-13.0007687144,37.6816306351,-13.8589271278,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190323-Vanderbilt-1,2c1339b5-4d96-11e9-9ebb-74e5f9ab4644,94.8597090865,,,10.171684236,0.208424249354,2.25422361385,1.23575463109,0.0863866338088,2.24346610379,1.24178255384,2dadc7f1-4d8f-11e9-9ebb-74e5f9ab4644
